244,将,中一弓戈戈,The general wearing turtles glued to his stars in evening attire
245,获,廿大竹大,The chihuahua seized the flower and chased by wild dogs
246,默,田火戈大,Hello darkness (the chihuahua) my old friend - silent in the background
247,然,月大火,Chihuahua flesh roasting on fire - hot diggity - sort of thing
248,哭,口口戈大,A chihuahua chatterbox sounds like crying
249,器,口口戈大口,A cooked chihuahua at the table awaiting 2 mouths to get their utensils and start to feast
250,臭,竹山戈大,A chihuahua with its nose in the air sniffing the stink
251,狗,大竹心,The quick brown fox jumps over the lazy dog
252,牛,竹手,
253,特,竹手土木戈,The cow is very special in the Budhist temple
254,告,竹土口,Ahh doo declare
255,浩,水竹土口,The vastness of the ocean declares his glory
256,先,竹土竹,"A cow suit - better to be one in front ""before"""
257,洗,水竹土山,Water before the meal = wash
258,个,人中,Individual with fancy umbrella
259,介,人中中,Umbrella introduced by crutches at the AAAA
260,界,田人中中,Many many buildings introduced into our world
261,茶,廿人木,Tea plant under the shade of colourful long poles with umbrellas on top
262,合,人一口,One mouth under umbrella = unite. Do they fit?
263,哈,口人一口,Nothing fits better in the mouth than a good joke ha!
264,塔,土廿,Fitting flowers in the dirt layers of a pagoda
265,王,一土,The scepter in the kings hand
266,玉,一土戈,The jade jewel in the scepter
267,宝,十一土,Tearing the house apart to hunt the treasure hidden below
268,球,一土戈十,The pitcher requests the ball to be thrown
269,现,一土月竹山,A ball that allows the present to be viewed
270,玩,一土一一,The first game they played in the garden of eden was ball with an apple
271,狂,大竹一土,The king as mad a pack of wild dogs = crazy
272,皇,竹日一土,White bird over king elevates him to emperor status
273,煌,火竹日土,This fiery emporer is resplendent in his glory
274,呈,口竹土,4 and 20 blackbirds submitted to the king flying into his mouth
275,全,人一土,King under one's umbrella makes one whole
276,理,一土田,The jewel of the computer is the logic chip
277,主,卜土,Every man is a drop of king or lord of his castle
278,注,水卜土,Pouring the wax from a lighted candlestick into a shot glass
279,金,,An umbrella shades the fire that melts all scepters drop by drop to gold
280,钟,人女中,A metal object with a centred metal core = bell
281,铜,人女月一,All bells are made of the same copper
282,钓,唔金心戈,A metal ladel for fishing goldfish
283,针,唔金十,A golden needle
284,钉,唔金一弓,A golden nail battered by the hammer
285,铭,唔金弓戈,A metal name = inscription
286,镇,人女十,Metal truth detector starts by putting you at ease
287,道,卜廿竹山,"The way of the bottom line, heads will roll down the road"
288,达,卜大,St Bernard and his pack of mutts saying reach of the skies on the road to the alps
289,远,卜一一山,"You are looking back, the distant object is at the beginning of the road"
290,适,卜竹十口,A suitable punishment for foul language is licking the road with your tongue
291,过,卜木戈,"The chicken was glued to the road, thats why"
292,迈,卜一尸,Stride 10k steps per day on the road
293,迅,卜弓十,Speedy gonzales stopped by hooks and needles
294,造,卜竹土口,Let there be roads declared the God like engineer
295,逃,卜中一人,Portent points to the inevitable result at the end of the road - no escape
296,巡,卜女女女,Patrol like a river down the street
297,选,卜竹土山,Two roads divered in a yellow woods - choose before living life
298,逊,卜弓木火,Grandchild on yellow tricycle taking grandad - very modest transport
299,逛,卜大竹土,Crazy dude taking stroll down middle of motorway
300,车,十手,Car
301,连,卜大手,A large convey of continuous vehicles on the road
302,莲,廿卜大手,Lotus flowers continously popping
303,前,廿月中,Pair of horns in front of butcher shop
304,剪,廿月弓,pair of daggers form shears in butcher shop
305,输,十手人,Transporting the whole slaughterhouse instead of just frozen meats
306,逾,卜人一,"On the road to the slaughterhouse, police patroling to ensure buffaloes don't exceed the speed limit"
307,条,竹水木,Acrobat walking on tight rope with stip of velcro on slippers
308,处,竹水卜,Dowser walking back and forth with diving rod to find the location
309,各,竹水口,Walking with mouth between legs = to each his own
310,格,木竹水口,"To each tree, his own pattern"
311,略,田竹水口,"Each field has an abbreviation, Chem, Comp Sci, Hist"
312,客,十竹水口,Each house in a welcoming town invites the guest to stay
313,额,十口一月人,"Don't stare into the guest's eyes, look instead at their forehead"
314,夏,一山竹,"Summer heat, walking legs spinning on nose stuck to ceiling"
315,洛,水竹水口,Each drop of water is prone to smog in LA
316,落,廿水,The smog affects the flowers by causing each petal to fall
317,备,竹水田,Rock preparing by waiding through rice field
